x,y,z,rx,ry,rz
-0.1299797827757768,-0.5278206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1299797827757768,-0.5378206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1299797827757768,-0.5478206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1299797827757768,-0.5578206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1399797827757768,-0.5278206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1399797827757768,-0.5378206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1399797827757768,-0.5478206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1399797827757768,-0.5578206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.14997978277577678,-0.5278206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.14997978277577678,-0.5378206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.14997978277577678,-0.5478206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.14997978277577678,-0.5578206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1599797827757768,-0.5278206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1599797827757768,-0.5378206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1599797827757768,-0.5478206294341196,0.2499996741735778,0.027,-2.229,2.237
-0.1599797827757768,-0.5578206294341196,0.2499996741735778,0.027,-2.229,2.237
